episode,arc,focus,incident,discovery,cliffhanger
1,導入,止まる時計,止まった時計の持ち主が毎回違う,誰も時計を持ち込んだ記憶がない,真琴は最初の記録帳を開く
2,導入,地下の気配,地下通路に古い作業音が響く,誰も使っていないはずの工房が動いている,真琴は地下へ降りる決心をする
3,導入,刻印,新人職人の工具箱に見覚えのない刻印がある,刻印は地下工房の扉と同じ模様,刻印の写しを白崎に見せる
4,導入,禁じられた修理,工房組合が夜間修理を禁じる,禁じられた直後から異変の報告だけが増え始める,志乃が夜の外出を止める
5,導入,濡れない鞄,毎週来る配達人の鞄だけが雨に濡れない,鞄の内側には油紙の地図が縫い込まれている,地図の終点が地下工房を指す
6,導入,未来の設計図,工房の棚に見覚えのない設計図がある,図面の日付だけが未来になっている,設計図の紙質が組合倉庫のものと分かる
7,導入,煙突,閉鎖された鋳造所の煙突から明け方だけ煙が上がる,燃料の搬入記録はどこにも残っていない,灰島の名前が初めて会話に出る
8,導入,同じ年度の硬貨,夜市で使われた硬貨がすべて同じ年度だった,その年度は大火災の年と一致する,真琴は火災名簿を探し始める
9,導入,燃やされる手紙,志乃が毎朝同じ手紙を燃やしている,燃え残りには昨日とは違う文面がある,真琴は燃え残りを持ち帰る
10,導入,止まらない塔,古い塔の時計だけが正確すぎる,街じゅうの時計が狂ってもそれだけはずれない,地下電源の話が浮上する
11,中盤,見張り,地下通路の入口に見張りが立つようになる,見張り役は皆同じ合図で持ち場を離れる,真琴はその合図を聞き取る
12,中盤,通行証,志乃の工具箱の底から組合印のない通行証が見つかる,通行証の番号は大火災前日に集中している,志乃が昔の仲間の名を漏らす
13,中盤,閲覧制限,図書館の閲覧制限が急に厳しくなる,制限理由だけ灰島の署名で上書きされている,白崎が閲覧室の裏口を開ける
14,中盤,名前のない台帳,白崎が名前のない台帳を隠している,台帳の筆跡は真琴の家族に似ている,真琴は父の名を見つける
15,中盤,古い鍵,志乃が保管していた古い鍵が一晩で摩耗していた,鍵穴に合う扉は現存しないはずだった,鍵が地下施設の図とつながる
16,中盤,会計帳簿,工房組合の帳簿に存在しない支出がある,支出先の略号は地下工房の刻印と一致する,灰島が帳簿の調査を止める
17,中盤,井戸,街外れの井戸から金属音が返ってくる,井戸の底に空洞がある,空洞の壁に時計部品が埋まっている
18,中盤,戻る部品,没収された部品が翌朝すべて元の場所に戻る,戻された順番は地下路線図をなぞっていた,真琴は順番を地図に写す
19,中盤,封印,組合倉庫の封印が毎週同じ時刻に切れている,切り口は工房で使う刃物の癖と一致しない,第三の作業者の存在が濃くなる
20,中盤,灰島の声,灰島が真琴の父の名を一度だけ口にする,その名は家族の口から長く消えていた,真琴は灰島を敵と見なす
21,中盤,路地,地図にない路地が雨の日だけ現れる,路地の先には壊れた駅舎が残っている,駅舎の壁に創設期の紋章がある
22,中盤,同じ夢,市場で売られるランプが同じ夢を見せる,夢の内容は街の古い事故と一致する,真琴は夢の情景を台帳と照らす
23,中盤,女性修理師,志乃の旧友だという女性修理師が現れる,彼女は街を見た瞬間に塔の狂いを言い当てる,志乃が彼女を避ける
24,中盤,鍵穴のない扉,摩耗した鍵に合う扉が駅舎地下にあった,扉は鍵穴ではなく時計機構で開く,真琴は塔の時計に戻る
25,中盤,空白の名簿,大火災の避難名簿から真琴の家族だけ一行抜け落ちている,削除痕の上に組合監査印が残る,白崎が監査印の古い版を出す
26,中盤,書き換えられた記録,真琴の調べた記録の一部だけがごっそり消える,消えた部分の目次だけは残されている,その目次が設計図の章立てと一致する
27,終盤,地下電源,地下で動いていた工房の主電源が塔の時計につながっていた,時計が止まる夜だけ地下工房に電力が流れていた,真琴は止まる夜を待つ
28,終盤,亡霊の発注,亡くなった職人名義で工具が発注されている,受け取り印は今も生きている人物の筆跡に似ている,灰島の書類と筆圧が重なる
29,終盤,火災孤児,白崎が灰島にだけ敬語を崩さない,二人は同じ年の火災孤児名簿に載っていた,白崎は灰島の過去を語り始める
30,終盤,夜間外出証,工房組合が夜間外出証の制度を始める,許可を受けた者だけが止まる時計の周辺に現れていた,真琴は偽の外出証を作る
31,終盤,一致する構造,未来の日付の設計図と地下工房の機械構造が一致する,図面は修理ではなく再現のためのものだった,地下工房の目的が見え始める
32,終盤,共通の過去,止まる時計の持ち主たちに共通の過去が見つかる,全員が大火災の年に同じ避難所へいた,火災が事故ではない疑いが強まる
33,終盤,隠れた駅舎,雨の日の路地の先の駅舎で時計部品が組み上がっている,部品の並びは避難所の配置図と一致する,真琴は避難所と実験の関係に気づく
34,終盤,記録の修復,白崎が隠していた台帳の欠落部を復元する,削除されたのは被害者ではなく観測対象の欄だった,真琴は家族も観測対象だったと知る
35,終盤,志乃の告白,志乃が大火災の夜に地下工房へ出入りしていたと認める,志乃は救出のために沈黙を選んだ,真琴は志乃を責めきれない
36,終盤,灰島の論理,灰島が異変を抑えてきた理由を語る,再現実験を止めると街全体の時計が止まる恐れがある,真琴は灰島の理屈の弱さを見抜く
37,終盤,父の役割,真琴の父は再現装置の停止手順を記した人物だった,停止手順は四つに分割され街に隠された,真琴は最後の手順を探す
38,終盤,最後の手順,最後の手順は志乃の燃やす手紙に断片化されていた,文面が毎日違うのは復元を防ぐためだった,真琴は全断片をつなぎ始める
39,終盤,停止の夜,止まる時計の夜に地下工房が最大出力へ入る,真琴は停止手順を実行するため灰島と対峙する,灰島は街を守るためだと言い張る
40,終盤,薄明のあと,再現装置は止まり街の時計もかろうじて動き続ける,火災と観測実験の真相が記録として残される,真琴は街に残って続きを引き受ける
